,Fish lenght[mm],eye area [mm²],yolk sac area [mm²],yolk sac breadth [mm]
C1,0.0,0.0,0.0,0.0
C4,0.0,0.0,0.0,0.0
C6,0.0,0.0,0.0,0.0
C15,0.0,0.0,0.0,0.0
C16,0.0,0.0,0.0,0.0
C19,0.0,0.0,0.0,0.0
C21,0.0,0.0,0.0,0.0
C25,0.0,0.0,0.0,0.0
C26,0.0,0.0,0.0,0.0
C29,0.0,0.0,0.0,0.0
C30,0.0,0.0,0.0,0.0
C31,0.0,0.0,0.0,0.0
C32,0.0,0.0,0.0,0.0
C33,0.0,0.0,0.0,0.0
C36,0.0,0.0,0.0,0.0
C37,0.0,0.0,0.0,0.0
C40,0.0,0.0,0.0,0.0
C41,0.0,0.0,0.0,0.0
C42,0.0,0.0,0.0,0.0
C45,0.0,0.0,0.0,0.0
C47,0.0,0.0,0.0,0.0
C48,0.0,0.0,0.0,0.0
C49,0.0,0.0,0.0,0.0
C50,0.0,0.0,0.0,0.0
C53,0.0,0.0,0.0,0.0
C54,0.0,0.0,0.0,0.0
C56,0.0,0.0,0.0,0.0
C57,0.0,0.0,0.0,0.0
C58,0.0,0.0,0.0,0.0
C59,0.0,0.0,0.0,0.0
C62,0.0,0.0,0.0,0.0
C68,0.0,0.0,0.0,0.0
C69,0.0,0.0,0.0,0.0
C75,0.0,0.0,0.0,0.0
C78,0.0,0.0,0.0,0.0
C79,0.0,0.0,0.0,0.0
C81,0.0,0.0,0.0,0.0
C83,0.0,0.0,0.0,0.0
C84,0.0,0.0,0.0,0.0
C85,0.0,0.0,0.0,0.0
C87,0.0,0.0,0.0,0.0
C88,0.0,0.0,0.0,0.0
