,Compound,Median length- mm,Median YOLKSAC BREADTH (mm),Median Yolk sac area(mm2),Median Eye area(mm2),principal component 1,principal component 2,pca_clusters
28,C27,3.5260000000000002,0.508,0.23600000000000002,0.036000000000000004,1.2151181478154747,-1.9314489895715055,0
114,C113,3.486,0.457,0.195,0.038,-0.5053330496179705,-1.2833077964050976,0
35,C34,3.556,0.423,0.204,0.04,-1.0874540019574297,-1.7872709138323832,0
120,C119,3.428,0.428,0.191,0.039,-0.916016255284815,-1.1129834148995454,0
127,C126,3.2560000000000002,0.46299999999999997,0.20600000000000002,0.035,0.6853470473876254,-0.33025933402662955,0
49,C48,3.513,0.45899999999999996,0.191,0.034,-0.32284320575177383,-0.4102532887769884,0
128,C127,3.511,0.46299999999999997,0.20800000000000002,0.039,-0.2595787180618702,-1.8065406578812624,0
130,C129,3.511,0.436,0.195,0.037000000000000005,-0.7700458977845251,-0.9729050168770443,0
18,C17,3.569,0.465,0.21,0.038,-0.25659381355265176,-1.7590600366304803,0
134,C133,3.3480000000000003,0.478,0.2,0.036000000000000004,0.41857023068059585,-0.761900013046463,0
14,C13,3.42,0.485,0.231,0.038,0.9057569165324413,-1.9016250836579582,0
139,C138,3.355,0.515,0.21100000000000002,0.037000000000000005,1.076531565852524,-1.4274493392406358,0
11,C10,3.483,0.48200000000000004,0.214,0.034,0.6147988629578247,-0.8673169392657887,0
9,C8,3.353,0.47100000000000003,0.209,0.034,0.6897910362391341,-0.42589026709599953,0
52,C51,3.367,0.423,0.239,0.033,0.8148842780026403,-0.38074237069563854,0
153,C152,3.4619999999999997,0.45799999999999996,0.20600000000000002,0.038,-0.16473927736446956,-1.4117173787733226,0
157,C156,3.3739999999999997,0.444,0.209,0.035,0.19422787129814356,-0.5067714907585249,0
13,C12,3.333,0.44799999999999995,0.205,0.037000000000000005,0.09773913014874622,-0.8220720408424084,0
90,C89,3.2260000000000004,0.441,0.19,0.034,0.16754322826072374,0.36182627176471843,1
71,C70,3.2089999999999996,0.514,0.187,0.034,1.1125762209103078,-0.05632807536165052,1
70,C69,3.262,0.461,0.228,0.03,1.574942411736407,0.42517378289939156,1
78,C77,3.1839999999999997,0.45799999999999996,0.19699999999999998,0.027999999999999997,1.1568056304972254,1.550544465039963,1
69,C68,3.41,0.425,0.175,0.027000000000000003,-0.3243561479282999,1.849686711190018,1
93,C92,3.27,0.47,0.204,0.031,1.0166395917819084,0.5052611971991753,1
0,Control Fish water,3.3169999999999997,0.48700000000000004,0.18600000000000003,0.028999999999999998,0.8486862521330049,1.0113630516427492,1
111,C110,2.7560000000000002,0.447,0.179,0.038,0.8954551127075786,0.6471967757104157,1
123,C122,3.4739999999999998,0.47600000000000003,0.18600000000000003,0.031,0.12815600518825837,0.2999152931981711,1
64,C63,3.491,0.435,0.195,0.032,-0.3272184365606987,0.1816656329668563,1
141,C140,3.469,0.429,0.17800000000000002,0.027999999999999997,-0.43477567317656424,1.4238767237963788,1
149,C148,3.425,0.439,0.198,0.032,-0.028444318222031296,0.25191188425987365,1
152,C151,3.304,0.418,0.207,0.034,0.0645148980802694,0.07905144113930633,1
158,C157,3.375,0.392,0.18,0.028999999999999998,-0.7133119776012385,1.6335203777933616,1
99,C98,3.195,0.41200000000000003,0.19899999999999998,0.028999999999999998,0.482463192026245,1.5909430384574252,1
61,C60,3.489,0.447,0.192,0.032,-0.23416966495817923,0.1509184179990975,1
66,C65,3.307,0.434,0.196,0.032,0.16699499409670104,0.5779929815116123,1
160,C159,3.362,0.449,0.198,0.028999999999999998,0.5124702427657692,0.9839281519076822,1
1,"Control 
1% DMSO",3.3939999999999997,0.451,0.182,0.034,-0.33286935084701197,0.049677649668251105,1
2,C1,3.115,0.436,0.187,0.034,0.3205692237929924,0.6883416028690046,1
4,C3,3.327,0.419,0.198,0.031,0.04338320717594212,0.826348014633601,1
53,C52,3.217,0.406,0.177,0.034,-0.5872768075444196,0.828976302033634,1
5,C4,2.975,0.423,0.187,0.032,0.6767282739326732,1.527766037911206,1
6,C5,3.083,0.439,0.196,0.024,1.4679739505390421,2.8027238047633065,1
60,C59,3.077,0.446,0.18100000000000002,0.027000000000000003,0.9745502736386435,2.343308385857536,1
30,C29,3.457,0.47700000000000004,0.22399999999999998,0.03,1.179578652707288,-0.051212943072158734,1
29,C28,3.451,0.434,0.209,0.032,0.10083473049629367,0.05472524372149901,1
