Compound,Median length- mm,Median YOLKSAC BREADTH (mm),Median Yolk sac area(mm2),Median Eye area(mm2),standard_clusters5,std_pca_4,Scale_length_2clusters,Scale_length_6clusters,length_PCA_2,length_PCA_6,length_PCA_4
Control Fish water,3.317,0.487,0.18600000000000005,0.029,1,1,1,0,0,2,0
"Control 
1% DMSO",3.394,0.451,0.182,0.034,0,1,0,0,1,2,2
C1,3.115,0.436,0.187,0.034,4,1,1,2,0,4,1
C3,3.327,0.419,0.198,0.031,1,1,1,0,0,2,0
C4,2.975,0.423,0.187,0.032,4,1,1,2,0,4,1
C5,3.083,0.439,0.196,0.024,1,1,1,2,0,4,1
C7,3.2460000000000004,0.545,0.214,0.029,3,3,1,5,0,1,0
C8,3.353,0.471,0.209,0.034,0,0,0,0,0,2,0
C10,3.483,0.482,0.214,0.034,0,0,0,3,1,5,2
C11,3.32,0.488,0.187,0.029,1,1,1,0,0,2,0
C12,3.333,0.448,0.205,0.037000000000000005,0,0,1,0,0,2,0
C13,3.42,0.485,0.231,0.038,0,0,0,0,1,5,2
C14,3.1060000000000003,0.457,0.18,0.034,4,1,1,2,0,4,1
C17,3.569,0.465,0.21,0.038,0,0,0,3,1,0,3
C24,3.167,0.5479999999999999,0.239,0.032,3,3,1,5,0,1,1
C25,3.1,0.5539999999999999,0.266,0.029,3,3,1,2,0,4,1
C27,3.526,0.508,0.236,0.036000000000000004,0,0,0,3,1,5,2
C28,3.451,0.434,0.209,0.032,1,1,0,3,1,5,2
C29,3.457,0.477,0.224,0.03,1,1,0,3,1,5,2
C30,3.63,0.413,0.197,0.037000000000000005,0,2,0,1,1,0,3
C34,3.556,0.423,0.204,0.04,0,0,0,3,1,0,3
C37,3.66,0.415,0.166,0.038,2,2,0,1,1,0,3
C38,3.611,0.383,0.16,0.035,2,2,0,1,1,0,3
C40,3.509,0.431,0.21,0.031,1,1,0,3,1,5,2
C41,3.643,0.434,0.18600000000000005,0.04,0,2,0,1,1,0,3
C42,3.705,0.419,0.171,0.034,2,2,0,1,1,0,3
C43,3.681,0.377,0.165,0.038,2,2,0,1,1,0,3
C48,3.513,0.459,0.191,0.034,0,0,0,3,1,5,2
C49,3.644,0.402,0.181,0.035,2,2,0,1,1,0,3
C51,3.367,0.423,0.239,0.033,1,0,0,0,1,2,0
C52,3.217,0.406,0.177,0.034,4,1,1,5,0,1,0
C54,3.689,0.391,0.196,0.036000000000000004,2,2,0,1,1,0,3
C56,3.649,0.362,0.179,0.03,2,2,0,1,1,0,3
C57,3.564,0.434,0.184,0.032,1,2,0,3,1,0,3
C59,3.077,0.446,0.181,0.027000000000000003,1,1,1,2,0,4,1
C60,3.489,0.447,0.192,0.032,1,1,0,3,1,5,2
C63,3.491,0.435,0.195,0.032,1,1,0,3,1,5,2
C65,3.307,0.434,0.196,0.032,1,1,1,0,0,2,0
C68,3.41,0.425,0.175,0.027000000000000003,1,1,0,0,1,2,2
C69,3.262,0.461,0.228,0.03,1,1,1,5,0,1,0
C70,3.209,0.514,0.187,0.034,4,1,1,5,0,1,0
C72,3.4,0.397,0.179,0.033,2,2,0,0,1,2,2
C77,3.184,0.458,0.197,0.028,1,1,1,5,0,1,1
C78,3.574,0.377,0.16,0.037000000000000005,2,2,0,3,1,0,3
C89,3.2260000000000004,0.441,0.19,0.034,4,1,1,5,0,1,0
C92,3.27,0.47,0.204,0.031,1,1,1,5,0,1,0
C98,3.195,0.412,0.199,0.029,1,1,1,5,0,1,0
C104,3.462,0.418,0.159,0.037000000000000005,2,2,0,3,1,5,2
C105,3.452,0.444,0.172,0.038,0,2,0,3,1,5,2
C106,3.355,0.519,0.221,0.033,3,3,0,0,0,2,0
C109,3.281,0.516,0.234,0.029,3,3,1,5,0,1,0
C110,2.756,0.447,0.179,0.038,4,1,1,4,0,3,1
C113,3.486,0.457,0.195,0.038,0,0,0,3,1,5,2
C114,3.3760000000000003,0.402,0.15,0.035,2,2,0,0,1,2,0
C115,3.372,0.382,0.14800000000000002,0.038,2,2,0,0,1,2,0
C119,3.428,0.428,0.191,0.039,0,0,0,0,1,5,2
C121,3.097,0.5489999999999999,0.24,0.038,3,3,1,2,0,4,1
C122,3.474,0.476,0.18600000000000005,0.031,1,1,0,3,1,5,2
C123,3.165,0.542,0.242,0.032,3,3,1,5,0,1,1
C126,3.256,0.463,0.206,0.035,4,0,1,5,0,1,0
C127,3.511,0.463,0.208,0.039,0,0,0,3,1,5,2
C129,3.511,0.436,0.195,0.037000000000000005,0,0,0,3,1,5,2
C133,3.3480000000000003,0.478,0.2,0.036000000000000004,0,0,0,0,0,2,0
C138,3.355,0.515,0.211,0.037000000000000005,0,0,0,0,0,2,0
C140,3.469,0.429,0.17800000000000002,0.028,1,1,0,3,1,5,2
C141,3.427,0.369,0.168,0.033,2,2,0,0,1,5,2
C142,3.392,0.383,0.158,0.033,2,2,0,0,1,2,2
C143,3.483,0.384,0.175,0.032,2,2,0,3,1,5,2
C148,3.425,0.439,0.198,0.032,1,1,0,0,1,5,2
C151,3.304,0.418,0.207,0.034,4,1,1,0,0,2,0
C152,3.462,0.458,0.206,0.038,0,0,0,3,1,5,2
C153,3.237,0.511,0.242,0.032,3,3,1,5,0,1,0
C156,3.374,0.444,0.209,0.035,0,0,0,0,1,2,0
C157,3.375,0.392,0.18,0.029,1,1,0,0,1,2,0
C158,3.516,0.381,0.16399999999999998,0.034,2,2,0,3,1,5,2
C159,3.362,0.449,0.198,0.029,1,1,0,0,1,2,0
