,Compound,Median length- mm,Median YOLKSAC BREADTH (mm),Median Yolk sac area(mm2),Median Eye area(mm2),standard_clusters3
0,Control Fish water,3.3169999999999997,0.48700000000000004,0.18600000000000003,0.028999999999999998,1
1,"Control 
1% DMSO",3.3939999999999997,0.451,0.182,0.034,1
2,C1,3.115,0.436,0.187,0.034,1
4,C3,3.327,0.419,0.198,0.031,1
5,C4,2.975,0.423,0.187,0.032,1
6,C5,3.083,0.439,0.196,0.024,1
8,C7,3.2460000000000004,0.545,0.214,0.028999999999999998,1
9,C8,3.353,0.47100000000000003,0.209,0.034,1
11,C10,3.483,0.48200000000000004,0.214,0.034,1
12,C11,3.32,0.488,0.187,0.028999999999999998,1
13,C12,3.333,0.44799999999999995,0.205,0.037000000000000005,1
14,C13,3.42,0.485,0.231,0.038,1
15,C14,3.1060000000000003,0.457,0.18,0.034,1
18,C17,3.569,0.465,0.21,0.038,1
25,C24,3.167,0.5479999999999999,0.239,0.032,1
26,C25,3.1,0.5539999999999999,0.266,0.028999999999999998,1
28,C27,3.5260000000000002,0.508,0.23600000000000002,0.036000000000000004,1
29,C28,3.451,0.434,0.209,0.032,1
30,C29,3.457,0.47700000000000004,0.22399999999999998,0.03,1
31,C30,3.63,0.413,0.19699999999999998,0.037000000000000005,1
35,C34,3.556,0.423,0.204,0.04,1
38,C37,3.66,0.415,0.166,0.038,1
39,C38,3.611,0.38299999999999995,0.16,0.035,1
41,C40,3.509,0.431,0.21,0.031,1
42,C41,3.6430000000000002,0.434,0.18600000000000003,0.04,1
43,C42,3.705,0.419,0.171,0.034,1
44,C43,3.681,0.377,0.165,0.038,1
49,C48,3.513,0.45899999999999996,0.191,0.034,1
50,C49,3.6439999999999997,0.402,0.18100000000000002,0.035,1
52,C51,3.367,0.423,0.239,0.033,1
53,C52,3.217,0.406,0.177,0.034,1
55,C54,3.6889999999999996,0.391,0.196,0.036000000000000004,1
57,C56,3.6489999999999996,0.36200000000000004,0.179,0.03,1
58,C57,3.5639999999999996,0.434,0.184,0.032,1
60,C59,3.077,0.446,0.18100000000000002,0.027000000000000003,1
61,C60,3.489,0.447,0.192,0.032,1
64,C63,3.491,0.435,0.195,0.032,1
66,C65,3.307,0.434,0.196,0.032,1
69,C68,3.41,0.425,0.175,0.027000000000000003,1
70,C69,3.262,0.461,0.228,0.03,1
71,C70,3.2089999999999996,0.514,0.187,0.034,1
73,C72,3.4,0.397,0.179,0.033,1
78,C77,3.1839999999999997,0.45799999999999996,0.19699999999999998,0.027999999999999997,1
79,C78,3.574,0.377,0.16,0.037000000000000005,1
90,C89,3.2260000000000004,0.441,0.19,0.034,1
93,C92,3.27,0.47,0.204,0.031,1
99,C98,3.195,0.41200000000000003,0.19899999999999998,0.028999999999999998,1
105,C104,3.4619999999999997,0.418,0.159,0.037000000000000005,1
106,C105,3.452,0.444,0.172,0.038,1
107,C106,3.355,0.519,0.221,0.033,1
110,C109,3.281,0.516,0.23399999999999999,0.028999999999999998,1
111,C110,2.7560000000000002,0.447,0.179,0.038,1
114,C113,3.486,0.457,0.195,0.038,1
115,C114,3.3760000000000003,0.402,0.15,0.035,1
116,C115,3.372,0.382,0.14800000000000002,0.038,1
120,C119,3.428,0.428,0.191,0.039,1
122,C121,3.097,0.5489999999999999,0.24,0.038,1
123,C122,3.4739999999999998,0.47600000000000003,0.18600000000000003,0.031,1
124,C123,3.165,0.542,0.242,0.032,1
127,C126,3.2560000000000002,0.46299999999999997,0.20600000000000002,0.035,1
128,C127,3.511,0.46299999999999997,0.20800000000000002,0.039,1
130,C129,3.511,0.436,0.195,0.037000000000000005,1
134,C133,3.3480000000000003,0.478,0.2,0.036000000000000004,1
139,C138,3.355,0.515,0.21100000000000002,0.037000000000000005,1
141,C140,3.469,0.429,0.17800000000000002,0.027999999999999997,1
142,C141,3.427,0.369,0.168,0.033,1
143,C142,3.392,0.38299999999999995,0.158,0.033,1
144,C143,3.483,0.384,0.175,0.032,1
149,C148,3.425,0.439,0.198,0.032,1
152,C151,3.304,0.418,0.207,0.034,1
153,C152,3.4619999999999997,0.45799999999999996,0.20600000000000002,0.038,1
154,C153,3.237,0.511,0.242,0.032,1
157,C156,3.3739999999999997,0.444,0.209,0.035,1
158,C157,3.375,0.392,0.18,0.028999999999999998,1
159,C158,3.516,0.381,0.16399999999999998,0.034,1
160,C159,3.362,0.449,0.198,0.028999999999999998,1
