,Compound,Median length- mm,Median YOLKSAC BREADTH (mm),Median Yolk sac area(mm2),Median Eye area(mm2),standard_clusters3
3,C2,0.0,0.0,0.0,0.0,0
112,C111,0.0,0.0,0.0,0.0,0
109,C108,0.0,0.0,0.0,0.0,0
108,C107,0.0,0.0,0.0,0.0,0
104,C103,0.0,0.0,0.0,0.0,0
103,C102,0.0,0.0,0.0,0.0,0
102,C101,0.0,0.0,0.0,0.0,0
101,C100,0.0,0.0,0.0,0.0,0
100,C99,0.0,0.0,0.0,0.0,0
98,C97,0.0,0.0,0.0,0.0,0
97,C96,0.0,0.0,0.0,0.0,0
96,C95,0.0,0.0,0.0,0.0,0
95,C94,0.0,0.0,0.0,0.0,0
94,C93,0.0,0.0,0.0,0.0,0
92,C91,0.0,0.0,0.0,0.0,0
91,C90,0.0,0.0,0.0,0.0,0
89,C88,0.0,0.0,0.0,0.0,0
88,C87,0.0,0.0,0.0,0.0,0
113,C112,0.0,0.0,0.0,0.0,0
117,C116,0.0,0.0,0.0,0.0,0
118,C117,0.0,0.0,0.0,0.0,0
119,C118,0.0,0.0,0.0,0.0,0
151,C150,0.0,0.0,0.0,0.0,0
150,C149,0.0,0.0,0.0,0.0,0
148,C147,0.0,0.0,0.0,0.0,0
147,C146,0.0,0.0,0.0,0.0,0
146,C145,0.0,0.0,0.0,0.0,0
145,C144,0.0,0.0,0.0,0.0,0
140,C139,0.0,0.0,0.0,0.0,0
138,C137,0.0,0.0,0.0,0.0,0
87,C86,0.0,0.0,0.0,0.0,0
137,C136,0.0,0.0,0.0,0.0,0
135,C134,0.0,0.0,0.0,0.0,0
133,C132,0.0,0.0,0.0,0.0,0
132,C131,0.0,0.0,0.0,0.0,0
131,C130,0.0,0.0,0.0,0.0,0
129,C128,0.0,0.0,0.0,0.0,0
126,C125,0.0,0.0,0.0,0.0,0
125,C124,0.0,0.0,0.0,0.0,0
121,C120,0.0,0.0,0.0,0.0,0
136,C135,0.0,0.0,0.0,0.0,0
155,C154,0.0,0.0,0.0,0.0,0
86,C85,0.0,0.0,0.0,0.0,0
84,C83,0.0,0.0,0.0,0.0,0
40,C39,0.0,0.0,0.0,0.0,0
37,C36,0.0,0.0,0.0,0.0,0
36,C35,0.0,0.0,0.0,0.0,0
34,C33,0.0,0.0,0.0,0.0,0
33,C32,0.0,0.0,0.0,0.0,0
32,C31,0.0,0.0,0.0,0.0,0
27,C26,0.0,0.0,0.0,0.0,0
24,C23,0.0,0.0,0.0,0.0,0
23,C22,0.0,0.0,0.0,0.0,0
22,C21,0.0,0.0,0.0,0.0,0
21,C20,0.0,0.0,0.0,0.0,0
20,C19,0.0,0.0,0.0,0.0,0
19,C18,0.0,0.0,0.0,0.0,0
17,C16,0.0,0.0,0.0,0.0,0
16,C15,0.0,0.0,0.0,0.0,0
10,C9,0.0,0.0,0.0,0.0,0
7,C6,0.0,0.0,0.0,0.0,0
45,C44,0.0,0.0,0.0,0.0,0
46,C45,0.0,0.0,0.0,0.0,0
47,C46,0.0,0.0,0.0,0.0,0
48,C47,0.0,0.0,0.0,0.0,0
83,C82,0.0,0.0,0.0,0.0,0
82,C81,0.0,0.0,0.0,0.0,0
81,C80,0.0,0.0,0.0,0.0,0
80,C79,0.0,0.0,0.0,0.0,0
77,C76,0.0,0.0,0.0,0.0,0
76,C75,0.0,0.0,0.0,0.0,0
75,C74,0.0,0.0,0.0,0.0,0
85,C84,0.0,0.0,0.0,0.0,0
72,C71,0.0,0.0,0.0,0.0,0
67,C66,0.0,0.0,0.0,0.0,0
65,C64,0.0,0.0,0.0,0.0,0
63,C62,0.0,0.0,0.0,0.0,0
62,C61,0.0,0.0,0.0,0.0,0
59,C58,0.0,0.0,0.0,0.0,0
56,C55,0.0,0.0,0.0,0.0,0
54,C53,0.0,0.0,0.0,0.0,0
51,C50,0.0,0.0,0.0,0.0,0
68,C67,0.0,0.0,0.0,0.0,0
156,C155,0.0,0.0,0.0,0.0,0
74,C73,3.426,0.447,0.2,0.33,2
