,Compound,Median length- mm,Median YOLKSAC BREADTH (mm),Median Yolk sac area(mm2),Median Eye area(mm2),standard_clusters5
28,C27,3.5260000000000002,0.508,0.23600000000000002,0.036000000000000004,0
106,C105,3.452,0.444,0.172,0.038,0
114,C113,3.486,0.457,0.195,0.038,0
35,C34,3.556,0.423,0.204,0.04,0
31,C30,3.63,0.413,0.19699999999999998,0.037000000000000005,0
120,C119,3.428,0.428,0.191,0.039,0
49,C48,3.513,0.45899999999999996,0.191,0.034,0
128,C127,3.511,0.46299999999999997,0.20800000000000002,0.039,0
130,C129,3.511,0.436,0.195,0.037000000000000005,0
18,C17,3.569,0.465,0.21,0.038,0
14,C13,3.42,0.485,0.231,0.038,0
134,C133,3.3480000000000003,0.478,0.2,0.036000000000000004,0
139,C138,3.355,0.515,0.21100000000000002,0.037000000000000005,0
11,C10,3.483,0.48200000000000004,0.214,0.034,0
9,C8,3.353,0.47100000000000003,0.209,0.034,0
153,C152,3.4619999999999997,0.45799999999999996,0.20600000000000002,0.038,0
157,C156,3.3739999999999997,0.444,0.209,0.035,0
1,"Control 
1% DMSO",3.3939999999999997,0.451,0.182,0.034,0
13,C12,3.333,0.44799999999999995,0.205,0.037000000000000005,0
42,C41,3.6430000000000002,0.434,0.18600000000000003,0.04,0
93,C92,3.27,0.47,0.204,0.031,1
70,C69,3.262,0.461,0.228,0.03,1
78,C77,3.1839999999999997,0.45799999999999996,0.19699999999999998,0.027999999999999997,1
69,C68,3.41,0.425,0.175,0.027000000000000003,1
64,C63,3.491,0.435,0.195,0.032,1
0,Control Fish water,3.3169999999999997,0.48700000000000004,0.18600000000000003,0.028999999999999998,1
123,C122,3.4739999999999998,0.47600000000000003,0.18600000000000003,0.031,1
61,C60,3.489,0.447,0.192,0.032,1
141,C140,3.469,0.429,0.17800000000000002,0.027999999999999997,1
149,C148,3.425,0.439,0.198,0.032,1
158,C157,3.375,0.392,0.18,0.028999999999999998,1
99,C98,3.195,0.41200000000000003,0.19899999999999998,0.028999999999999998,1
60,C59,3.077,0.446,0.18100000000000002,0.027000000000000003,1
66,C65,3.307,0.434,0.196,0.032,1
160,C159,3.362,0.449,0.198,0.028999999999999998,1
4,C3,3.327,0.419,0.198,0.031,1
6,C5,3.083,0.439,0.196,0.024,1
52,C51,3.367,0.423,0.239,0.033,1
12,C11,3.32,0.488,0.187,0.028999999999999998,1
29,C28,3.451,0.434,0.209,0.032,1
30,C29,3.457,0.47700000000000004,0.22399999999999998,0.03,1
58,C57,3.5639999999999996,0.434,0.184,0.032,1
41,C40,3.509,0.431,0.21,0.031,1
144,C143,3.483,0.384,0.175,0.032,2
143,C142,3.392,0.38299999999999995,0.158,0.033,2
142,C141,3.427,0.369,0.168,0.033,2
115,C114,3.3760000000000003,0.402,0.15,0.035,2
38,C37,3.66,0.415,0.166,0.038,2
57,C56,3.6489999999999996,0.36200000000000004,0.179,0.03,2
116,C115,3.372,0.382,0.14800000000000002,0.038,2
55,C54,3.6889999999999996,0.391,0.196,0.036000000000000004,2
105,C104,3.4619999999999997,0.418,0.159,0.037000000000000005,2
43,C42,3.705,0.419,0.171,0.034,2
159,C158,3.516,0.381,0.16399999999999998,0.034,2
79,C78,3.574,0.377,0.16,0.037000000000000005,2
50,C49,3.6439999999999997,0.402,0.18100000000000002,0.035,2
44,C43,3.681,0.377,0.165,0.038,2
73,C72,3.4,0.397,0.179,0.033,2
39,C38,3.611,0.38299999999999995,0.16,0.035,2
154,C153,3.237,0.511,0.242,0.032,3
8,C7,3.2460000000000004,0.545,0.214,0.028999999999999998,3
107,C106,3.355,0.519,0.221,0.033,3
26,C25,3.1,0.5539999999999999,0.266,0.028999999999999998,3
124,C123,3.165,0.542,0.242,0.032,3
122,C121,3.097,0.5489999999999999,0.24,0.038,3
110,C109,3.281,0.516,0.23399999999999999,0.028999999999999998,3
25,C24,3.167,0.5479999999999999,0.239,0.032,3
127,C126,3.2560000000000002,0.46299999999999997,0.20600000000000002,0.035,4
71,C70,3.2089999999999996,0.514,0.187,0.034,4
90,C89,3.2260000000000004,0.441,0.19,0.034,4
53,C52,3.217,0.406,0.177,0.034,4
152,C151,3.304,0.418,0.207,0.034,4
5,C4,2.975,0.423,0.187,0.032,4
111,C110,2.7560000000000002,0.447,0.179,0.038,4
2,C1,3.115,0.436,0.187,0.034,4
15,C14,3.1060000000000003,0.457,0.18,0.034,4
