,Median length- mm,Median YOLKSAC BREADTH (mm),Median Yolk sac area(mm2),Median Eye area(mm2),standard_clusters6
79,3.574,0.377,0.16,0.037000000000000005,0
57,3.6489999999999996,0.36200000000000004,0.179,0.03,0
143,3.392,0.38299999999999995,0.158,0.033,0
50,3.6439999999999997,0.402,0.18100000000000002,0.035,0
142,3.427,0.369,0.168,0.033,0
44,3.681,0.377,0.165,0.038,0
43,3.705,0.419,0.171,0.034,0
159,3.516,0.381,0.16399999999999998,0.034,0
39,3.611,0.38299999999999995,0.16,0.035,0
38,3.66,0.415,0.166,0.038,0
73,3.4,0.397,0.179,0.033,0
58,3.5639999999999996,0.434,0.184,0.032,0
144,3.483,0.384,0.175,0.032,0
116,3.372,0.382,0.14800000000000002,0.038,0
105,3.4619999999999997,0.418,0.159,0.037000000000000005,0
115,3.3760000000000003,0.402,0.15,0.035,0
110,3.281,0.516,0.23399999999999999,0.028999999999999998,1
25,3.167,0.5479999999999999,0.239,0.032,1
26,3.1,0.5539999999999999,0.266,0.028999999999999998,1
122,3.097,0.5489999999999999,0.24,0.038,1
154,3.237,0.511,0.242,0.032,1
124,3.165,0.542,0.242,0.032,1
8,3.2460000000000004,0.545,0.214,0.028999999999999998,1
5,2.975,0.423,0.187,0.032,2
53,3.217,0.406,0.177,0.034,2
111,2.7560000000000002,0.447,0.179,0.038,2
71,3.2089999999999996,0.514,0.187,0.034,2
2,3.115,0.436,0.187,0.034,2
90,3.2260000000000004,0.441,0.19,0.034,2
15,3.1060000000000003,0.457,0.18,0.034,2
134,3.3480000000000003,0.478,0.2,0.036000000000000004,3
70,3.262,0.461,0.228,0.03,3
139,3.355,0.515,0.21100000000000002,0.037000000000000005,3
107,3.355,0.519,0.221,0.033,3
52,3.367,0.423,0.239,0.033,3
127,3.2560000000000002,0.46299999999999997,0.20600000000000002,0.035,3
14,3.42,0.485,0.231,0.038,3
157,3.3739999999999997,0.444,0.209,0.035,3
9,3.353,0.47100000000000003,0.209,0.034,3
30,3.457,0.47700000000000004,0.22399999999999998,0.03,3
152,3.304,0.418,0.207,0.034,3
28,3.5260000000000002,0.508,0.23600000000000002,0.036000000000000004,3
11,3.483,0.48200000000000004,0.214,0.034,3
13,3.333,0.44799999999999995,0.205,0.037000000000000005,3
128,3.511,0.46299999999999997,0.20800000000000002,0.039,4
120,3.428,0.428,0.191,0.039,4
114,3.486,0.457,0.195,0.038,4
153,3.4619999999999997,0.45799999999999996,0.20600000000000002,0.038,4
49,3.513,0.45899999999999996,0.191,0.034,4
55,3.6889999999999996,0.391,0.196,0.036000000000000004,4
130,3.511,0.436,0.195,0.037000000000000005,4
18,3.569,0.465,0.21,0.038,4
31,3.63,0.413,0.19699999999999998,0.037000000000000005,4
35,3.556,0.423,0.204,0.04,4
42,3.6430000000000002,0.434,0.18600000000000003,0.04,4
106,3.452,0.444,0.172,0.038,4
149,3.425,0.439,0.198,0.032,5
141,3.469,0.429,0.17800000000000002,0.027999999999999997,5
158,3.375,0.392,0.18,0.028999999999999998,5
0,3.3169999999999997,0.48700000000000004,0.18600000000000003,0.028999999999999998,5
66,3.307,0.434,0.196,0.032,5
99,3.195,0.41200000000000003,0.19899999999999998,0.028999999999999998,5
93,3.27,0.47,0.204,0.031,5
78,3.1839999999999997,0.45799999999999996,0.19699999999999998,0.027999999999999997,5
69,3.41,0.425,0.175,0.027000000000000003,5
64,3.491,0.435,0.195,0.032,5
61,3.489,0.447,0.192,0.032,5
60,3.077,0.446,0.18100000000000002,0.027000000000000003,5
41,3.509,0.431,0.21,0.031,5
29,3.451,0.434,0.209,0.032,5
12,3.32,0.488,0.187,0.028999999999999998,5
6,3.083,0.439,0.196,0.024,5
4,3.327,0.419,0.198,0.031,5
1,3.3939999999999997,0.451,0.182,0.034,5
123,3.4739999999999998,0.47600000000000003,0.18600000000000003,0.031,5
160,3.362,0.449,0.198,0.028999999999999998,5
